substation_transformer_id,sap_equipment_id,user_status,substation_id,substation_name,substation_hftd,substation_hfra,substation_region,substation_division,substation_county,bank_id,equipment_description,functional_location,functional_location_desc,planner_group,position,install_date,in_service_date,nominal_voltages_primary_kv,nominal_voltages_secondary_kv,primary_winding_connection,secondary_winding_connection,nameplate_cap_max_kva,base_kva,phase,manufacturer,vintage,manufacturer_model_number,ltc_present,main_workcenter,unit_substation,fuse_protected,pressure_relief_mfr,pressure_relief_model_number,extreme_pressure_relief_device_present,latitude,longitude,toa_dga_result_ts_id,toa_fq_result_ts_id,toa_pcb_result_ts_id,toa_moisture_result_ts_id,toa_furan_result_ts_id,manufacturer_description,manufacture_serial_number,system_status,nominal_voltages_tertiary_kv,tertiary_winding_connection,cooling_stage,temp_rise_deg_c,primary_rated_voltage,secondary_rated_voltage,year_of_manufacture,iron_losses,copper_losses,nameplate_cap_rating_1_kva,nameplate_cap_rating_2_kva,nameplate_cap_rating_3_kva,rated_tertiary_kva,equipment_type,manufactured,oil_directed_piping,insulating_fluid_type,impedance_pct,oil_total_gals,online_dga_monitor,rewound,pre_bt_mfr_value,winding_material,nlt_a_1_pri_rated_voltage_v,nlt_b_2_pri_rated_voltage_v,nlt_c_3_pri_rated_voltage_v,nlt_d_4_pri_rated_voltage_v,nlt_e_5_pri_rated_voltage_v,nlt_a_1_sec_rated_voltage_v,nlt_b_2_sec_rated_voltage_v,nlt_c_3_sec_rated_voltage_v,nlt_d_4_sec_rated_voltage_v,nlt_e_5_sec_rated_voltage_v
ETS.87.00008-41011901,41011901,[REMV],ETS.87.00008,,,,,,,BK 2 - REMV,BK 2 3 PHASE XFMR W/LTC - REMV,ETS.87.00008,GATES REMOVED EQUIPMENT,,,2008-03-05,,70.0,12.0,,,12500.0,10000.0,3,WEC,,UNK,Y,,DCS,N,GEC,MECHANICAL,Y,0.0,0.0,,,,,,W.E. CORPORATION,PFP99463,"[DLFL, INAC, INST]",2.4,,OA/FA,65.0,,,,13617.0,68387.0,10000.0,12500.0,,,ETS.TXFR,1975-09-01,,,7.5200000000000005,3904,,N,WEC,,,,,,,,,,,
ETS.08.12894-41011902,41011902,[INSV],ETS.08.12894,"Reserve Oil Sub, Gates Hq",TIER 1,,Central Valley,Fresno,Kings,BK 3,BK 3 3 PHASE TRANSFORMER,ETS.08.12894.TXFR,"RESERVE OIL SUB, POWER TRANSFORMERS",DS1,,1974-01-01,,70.0,4.0,WYE,WYE,2500.0,2500.0,3,MCGRAW EDISON,,UNK,N,GATES,DCS,Y,,NONE,Y,0.0,0.0,41011902-dga_result,41011902-fq_result,41011902-pcb_result,41011902-moisture_result,41011902-furan_result,MCGRAW EDISON2,C4067811,[INST],,,OA,65.0,,,,,,2500.0,,,,ETS.TXFR,1974-01-01,,,5.1000000000000005,525,,,MCG,,,,,,,,,,,
ETS.87.00008-41011903,41011903,[REMV],ETS.87.00008,,,,,,,REMOVED,BK 1C SINGLE PHASE TRANSFORMER REMOVED,ETS.87.00008,GATES REMOVED EQUIPMENT,,,1975-01-27,,70.0,12.0,WYE,WYE,6250.0,5000.0,1,GENERAL ELECTRIC,,OA,N,,DCS,N,GEC,8INCH,Y,0.0,0.0,,,,,,GENERAL ELECTRIC2,B534145,"[INAC, INST]",2.4,DELTA,OA/FA,55.0,,,,10978.0,12797.0,5000.0,6250.0,,,ETS.TXFR,1952-03-11,,,7.17,1940,,,GE,,,,,,,,,,,
ETS.08.13132-41011904,41011904,[INSV],ETS.08.13132,"Twisselman Sub, Gates Hq",TIER 1,,Central Valley,Kern,Kern,BK 2105,BK 2105 3 PHASE TRANSFORMER,ETS.08.13132.TXFR,"TWISSELMAN SUB, POWER TRANSFORMERS",DS1,0015,1985-01-11,,21.0,12.0,WYE,WYE,12500.0,10000.0,3,HEAVY DUTY ELECTRIC,,UNK,N,GATES,DCS,N,QLTRL,MECHANICAL,Y,0.0,0.0,41011904-dga_result,41011904-fq_result,41011904-pcb_result,41011904-moisture_result,41011904-furan_result,Heavy Duty Electric,GMPSS370059,[INST],,,OA/FA,65.0,,,,,,10000.0,12500.0,,,ETS.TXFR,1984-01-01,,,3.6,1120,,,HDE,,,,,,,,,,,
ETS.87.00018-41011905,41011905,[REMV],ETS.87.00018,,,,,,,BK 1-REMOVED,BK 1 3 PHASE TRANSFORMER WITH LTC- REMOV,ETS.87.00018,STOCKTON REMOVED EQUIPMENT,,,1996-03-25,,115.0,12.0,WYE,WYE,30000.0,18000.0,3,PROLEC,,182430MVA,Y,,DCS,N,QLTRL,20860F,Y,0.0,0.0,,,,,,Prolec,P19501,[INST],7.2,DELTA,OA/FA/FA,65.0,115.0,,,,,18000.0,24000.0,30000.0,,ETS.TXFR,1994-06-01,,,7.07,5070,,N,PRO,,,,,,,,,,,
ETS.09.12303-41011908,41011908,[INSV],ETS.09.12303,"Dumbarton Sub, Hayward Hq",TIER 1,,Bay Area,Mission,Alameda,AUTO,AUTO 3 PHASE TRANSFORMER,ETS.09.12303.TXFR,"DUMBARTON SUB, POWER TRANSFORMERS",DS1,0004,1988-08-12,,21.0,12.0,WYE,WYE,16000.0,12000.0,3,FEDERAL PACIFIC ELECTRIC,,UNK,N,HAYWARD,DCS,N,QLTRL,XXXX,Y,0.0,0.0,41011908-dga_result,41011908-fq_result,41011908-pcb_result,41011908-moisture_result,41011908-furan_result,Federal Pacific Electric,S1115701,[INST],,,OA/FA,65.0,,,,,,12000.0,16000.0,,,ETS.TXFR,1973-10-25,,,,1650,,,FPE,,,,,,,,,,,
ETS.15.12152-41011909,41011909,[INSV],ETS.15.12152,"Camphora Sub, Moss Landing Hq",TIER 1,,South Bay & Central Coast,Central Coast,Monterey,BK 2,BK 2 3 PHASE TRANSFORMER WITH LTC,ETS.15.12152.TXFR,"CAMPHORA SUB, POWER TRANSFORMERS",DS1,,1995-06-08,,60.0,12.0,WYE,WYE,10500.0,8400.0,3,MAGNETEC,,UZD,Y,MOSSLNDG,DCS,Y,QLTRL,,Y,0.0,0.0,41011909-dga_result,41011909-fq_result,41011909-pcb_result,41011909-moisture_result,41011909-furan_result,Magnetec,A2431X,[INST],7.2,DELTA,OA/FA,65.0,,,,,,8400.0,10500.0,,,ETS.TXFR,1995-06-01,,,,3075,,,MAG,,,,,,,,,,,
ETS.87.00002-41011910,41011910,"[REMV, spar]",ETS.87.00002,,,,,,,BK 2A SP - REMV,BK 2A SP SINGLE PH TRANSFORMER - REMV,ETS.87.00002,COTTONWOOD REMOVED EQUIPMENT,,,1980-11-18,,60.0,12.0,WYE,WYE,3333.0,2800.0,1,AC,,U,N,,GM&C,N,,,N,0.0,0.0,,,,,,ALLIS/CHALMERS,2083851,"[INAC, INST]",2.4,DELTA,OA/FA,55.0,,,,6848.0,14900.0,2800.0,3333.0,,875.0,ETS.TXFR,1946-01-01,,,6.88,1558,,N,ACC,,,,,,,,,,,
ETS.87.00008-41011911,41011911,[REMV],ETS.87.00008,,,,,,,BK 1 - REMV,BK 1 3 PHASE TRANSFORMER - REMV,ETS.87.00008,GATES REMOVED EQUIPMENT,,,1967-12-07,,70.0,12.0,,,5250.0,4200.0,3,KU,,UNK,N,,DCS,N,QLTRL,20760,Y,0.0,0.0,,,,,,KUHLMAN,236068,"[INAC, INST]",2.4,,OA/FA,65.0,,,,8160.0,27787.0,4200.0,5250.0,,,ETS.TXFR,1966-01-01,,,6.97,2066,,N,KUL,,,,,,,,,,,
ETS.08.14963-41011912,41011912,[INSV],ETS.08.14963,"Berrenda A Sub, Gates Hq",TIER 1,,Central Valley,Kern,Kern,BK 2,BK 2 3 PHASE TRANSFORMER,ETS.08.14963.TXFR,"BERRENDA A SUB, POWER TRANSFORMERS",DS1,BK2,1971-03-09,,70.0,4.0,WYE,WYE,5250.0,4200.0,3,KU,,UNK,N,GATES,DCS,N,QLTRL,20760,Y,0.0,0.0,41011912-dga_result,41011912-fq_result,41011912-pcb_result,41011912-moisture_result,41011912-furan_result,KUHLMAN,237984,[INST],2.4,,OA/FA,65.0,,,,8480.0,26200.0,4200.0,5250.0,,,ETS.TXFR,1967-06-16,,,7.08,2146,,,KUL,,,,,,,,,,,
ETS.87.00012-41011913,41011913,"[REMV, spar]",ETS.87.00012,,,,,,,BK 1 SP-REMOVED,"BK 1 SPARE SINGLE PHASE TRANSFORMER-REM,",ETS.87.00012,MARTIN REMOVED EQUIPMENT,,,1951-10-21,,115.0,12.0,WYE,WYE,20000.0,16000.0,1,MOLONEY ELECTRIC COMPANY,,CR,N,,DCS,N,,,N,0.0,0.0,,,,,,Moloney Electric Company,898420,[INST],,,OA/FA,55.0,,,,35000.0,87823.0,16000.0,20000.0,,,ETS.TXFR,1950-11-13,,,7.7,5050,,N,MEC,,,,,,,,,,,
ETS.22.13157-41011914,41011914,[INSV],ETS.22.13157,"Valley View Sub, Concord Hq",TIER 1,,Bay Area,East Bay,Contra Costa,BK 1,BK 1 3 PHASE TRANSFORMER WITH LTC,ETS.22.13157.TXFR,"VALLEY VIEW SUB, POWER TRANSFORMERS",DS1,,1970-11-25,,115.0,12.0,WYE,WYE,12500.0,10000.0,3,FEDERAL PACIFIC ELECTRIC,,FPE546TC,Y,CONCORD,DCS,Y,,FA13224,Y,0.0,0.0,41011914-dga_result,41011914-fq_result,41011914-pcb_result,41011914-moisture_result,41011914-furan_result,Federal Pacific Electric,214411,[INST],,,OA/FA,65.0,115.0,,,15960.0,44560.0,10000.0,12500.0,,,ETS.TXFR,1969-10-21,,,7.72,4217,,,FPE,,,,,,,,,,,
ETS.87.00015-41011916,41011916,[REMV],ETS.87.00015,,,,,,,BK 4 - REMOVED,BK-4 3 PHASE TRANSFORMER - REMOVED,ETS.87.00015,MOSS LANDING REMOVED EQUIPMENT,,,1950-05-19,,115.0,12.0,WYE,WYE,25000.0,25000.0,3,GENERAL ELECTRIC,,FOAPTFORMD,N,,DCS,N,,,N,0.0,0.0,,,,,,GENERAL ELECTRIC2,8801756,[INST],,,FOA/FOA,55.0,,,,,,25000.0,,,,ETS.TXFR,1947-10-17,,,7.78,6100,,N,GE,,,,,,,,,,,
ETS.23.12853-41011917,41011917,[INSV],ETS.23.12853,"Point Pinole Sub, Oakport Hq",TIER 1,,Bay Area,East Bay,Contra Costa,BK 1,BK 1 3 PHASE TRANSFORMER WITH LTC,ETS.23.12853.TXFR,"POINT PINOLE SUB, POWER TRANSFORMERS",DS1,,1980-08-22,,115.0,12.0,WYE,WYE,16000.0,12000.0,3,WH,,SLUTTB,Y,OAKPORT,DCS,Y,,,N,0.0,0.0,41011917-dga_result,41011917-fq_result,41011917-pcb_result,41011917-moisture_result,41011917-furan_result,Westinghouse,UCS27594,[INST],6.6000000000000005,DELTA,OA/FA,65.0,,,,14439.0,45837.0,12000.0,16000.0,,,ETS.TXFR,1980-02-01,,,7.76,5342,,N,WEC,,,,,,,,,,,
ETS.26.16740-41011918,41011918,"[IDLE, mobl, stor]",ETS.26.16740,"Tesla Mobile Storage, Tesla Hq",TIER 1,,Central Valley,Stockton,Alameda,T-45.0-6,MOBILE T-45.0-6 3 PH TRANSFORMER - IDLE,ETS.26.16740,"TESLA MOBILE STORAGE, TESLA HQ",DM1,T45,1987-09-22,,115.0,21.0,WYE,WYE,45000.0,45000.0,3,H.K. PORTER,,45MVA,N,TESLA,DCS,N,QLTRL,,Y,0.0,0.0,41011918-dga_result,41011918-fq_result,41011918-pcb_result,41011918-moisture_result,41011918-furan_result,H.K. Porter,E73050586,[INST],,,FOA,95.0,,,,,,45000.0,,,,ETS.TXFR,,,,16.5,1550,,N,HKP,,,,,,,,,,,
ETS.12.12315-41011919,41011919,[INSV],ETS.12.12315,"East Grand Sub, Martin Hq",TIER 1,,Bay Area,Peninsula,San Mateo,BK 2,BK 2 3 PH TRANSFORMER,ETS.12.12315.TXFR,"EAST GRAND SUB, POWER TRANSFORMERS",DS1,0002,1952-09-03,,12.0,4.0,DELTA,WYE,3000.0,3000.0,3,GE,,OATU,N,MARTIN,DCS,N,FPE,MECHANICAL,Y,0.0,0.0,41011919-dga_result,41011919-fq_result,41011919-pcb_result,41011919-moisture_result,41011919-furan_result,GENERAL ELECTRIC.,B528876,[INST],,,OA,55.0,,,,7151.0,19010.0,3000.0,,,,ETS.TXFR,1951-05-28,,,5.33,995,,N,GE,,,,,,,,,,,
ETS.87.00012-41011920,41011920,[REMV],ETS.87.00012,,,,,,,BK 1C-REMV,BK 1 C SINGLE PHASE TRANSFORMER-REMV,ETS.87.00012,MARTIN REMOVED EQUIPMENT,,,1951-10-18,,115.0,12.0,WYE,WYE,20000.0,20000.0,1,MOLONEY ELECTRIC COMPANY,,CR,N,,DCS,N,,,N,0.0,0.0,,,,,,Moloney Electric Company,898422,[INST],,,OA/FA,55.0,,,,35000.0,87823.0,16000.0,20000.0,,,ETS.TXFR,1950-01-01,,,7.7,5050,,N,MEC,,,,,,,,,,,
ETS.87.00012-41011921,41011921,[REMV],ETS.87.00012,,,,,,,BK 1A-REMV,BK 1 A SINGLE PHASE TRANSFORMER-REMV,ETS.87.00012,MARTIN REMOVED EQUIPMENT,,,1951-10-18,,115.0,12.0,WYE,WYE,20000.0,20000.0,1,MOLONEY ELECTRIC COMPANY,,CR,N,,DCS,N,,,N,0.0,0.0,,,,,,Moloney Electric Company,898421,[INST],,,OA/FA,55.0,,,,35000.0,87823.0,16000.0,20000.0,,,ETS.TXFR,1950-01-01,,,7.7,5050,,N,MEC,,,,,,,,,,,
ETS.87.00012-41011922,41011922,[REMV],ETS.87.00012,,,,,,,BK 1B-REMV,BK 1 B SINGLE PHASE TRANSFORMER-REMV,ETS.87.00012,MARTIN REMOVED EQUIPMENT,,,1951-10-18,,115.0,12.0,WYE,WYE,20000.0,20000.0,1,MOLONEY ELECTRIC COMPANY,,CR,N,,DCS,N,,,N,0.0,0.0,,,,,,Moloney Electric Company,898423,[INST],,,OA/FA,55.0,,,,35000.0,87823.0,16000.0,20000.0,,,ETS.TXFR,1950-01-01,,,7.7,5050,,N,MEC,,,,,,,,,,,
ETS.17.12375-41011923,41011923,[INSV],ETS.17.12375,"Foothill Sub, Pismo Beach Hq",TIER 2,HFRA Addition,South Bay & Central Coast,Los Padres,San Luis Obispo,BK 2,BK 2 3 PHASE TRANSFORMER,ETS.17.12375.TXFR,"FOOTHILL SUB, POWER TRANSFORMERS",DS1,,1985-12-13,,21.0,12.0,WYE,WYE,12500.0,10000.0,3,GE,,U,N,PISMOBCH,DCS,N,QLTRL,,Y,0.0,0.0,41011923-dga_result,41011923-fq_result,41011923-pcb_result,41011923-moisture_result,41011923-furan_result,GENERAL ELECTRIC.,H881592C,[INST],,,OA/FA,65.0,,,,,,10000.0,12500.0,,,ETS.TXFR,1985-01-01,,,4.2700000000000005,910,,N,GE,,,,,,,,,,,
ETS.87.00023-41011924,41011924,[REMV],ETS.87.00023,,,,,,,401 - REMOVED,401 3 PH TRANSFORMER WITH LTC - REMOVED,ETS.87.00023,OAKPORT REMOVED EQUIPMENT,,,1948-11-12,,12.0,4.0,WYE,ZIGZAG,2000.0,2000.0,3,GENERAL ELECTRIC,,HTU,Y,,DCS,N,,,N,0.0,0.0,,,,,,GENERAL ELECTRIC2,8288349,"[INAC, INST]",,,OA/FA,55.0,,,,5207.0,17765.0,2000.0,,,,ETS.TXFR,1947-02-12,,,6.13,995,,N,GE,,,,,,,,,,,
ETS.87.00023-41011925,41011925,[REMV],ETS.87.00023,,,,,,,402 - REMV,402 3 PHASE TRANSFORMER WITH LTC-REMV,ETS.87.00023,OAKPORT REMOVED EQUIPMENT,,,1951-12-13,,12.0,4.0,WYE,ZIGZAG,2000.0,2000.0,3,GE,,HTU,Y,,GM&C,N,,,N,0.0,0.0,,,,,,GENERAL ELECTRIC.,8277434,"[INAC, INST]",,,OA/FA,55.0,,,,4979.0,17890.0,2000.0,,,,ETS.TXFR,1946-09-18,,,6.07,995,,N,GE,,,,,,,,,,,
